Device Address,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
EA:EB:C9:B6:1F:5A,Flex + IMU,2888,1,82,0,157,50,201,108,246,193,241
EA:EB:C9:B6:1F:5A,Flex + IMU,2896,1,82,0,157,76,240,108,246,228,178
EA:EB:C9:B6:1F:5A,Flex + IMU,2944,1,82,0,157,210,85,7,251,13,150
EA:EB:C9:B6:1F:5A,Flex + IMU,2952,1,82,0,157,15,15,136,251,13,109
EA:EB:C9:B6:1F:5A,Flex + IMU,2992,1,82,0,157,71,223,172,251,103,220
EA:EB:C9:B6:1F:5A,Flex + IMU,3000,1,82,0,157,143,223,172,251,33,249
EA:EB:C9:B6:1F:5A,Flex + IMU,3040,1,82,0,157,154,39,15,251,141,111
EA:EB:C9:B6:1F:5A,Flex + IMU,3048,1,82,0,157,167,202,119,251,167,145
EA:EB:C9:B6:1F:5A,Flex + IMU,3088,1,82,0,157,50,178,184,251,88,42
EA:EB:C9:B6:1F:5A,Flex + IMU,3096,1,82,0,157,31,161,47,251,233,35
EA:EB:C9:B6:1F:5A,Flex + IMU,3136,1,82,0,157,83,234,102,251,133,165
EA:EB:C9:B6:1F:5A,Flex + IMU,3144,1,82,0,157,80,118,226,251,231,226
EA:EB:C9:B6:1F:5A,Flex + IMU,3184,1,82,0,157,54,76,161,251,211,178
EA:EB:C9:B6:1F:5A,Flex + IMU,3192,1,82,0,157,63,4,235,251,251,161
EA:EB:C9:B6:1F:5A,Flex + IMU,3232,1,82,0,157,83,41,144,151,9,217
EA:EB:C9:B6:1F:5A,Flex + IMU,3240,1,82,0,157,76,55,249,100,186,149
EA:EB:C9:B6:1F:5A,Flex + IMU,3280,1,82,0,157,13,9,56,48,80,127
EA:EB:C9:B6:1F:5A,Flex + IMU,3288,1,82,0,157,76,201,192,179,198,227
EA:EB:C9:B6:1F:5A,Flex + IMU,3328,1,82,0,157,140,89,255,138,115,135
EA:EB:C9:B6:1F:5A,Flex + IMU,3336,1,82,0,157,153,246,81,149,200,135
EA:EB:C9:B6:1F:5A,Flex + IMU,3376,1,81,0,157,80,180,213,61,184,92
EA:EB:C9:B6:1F:5A,Flex + IMU,3384,1,81,0,157,46,83,172,186,82,115
EA:EB:C9:B6:1F:5A,Flex + IMU,3432,1,81,0,157,124,253,78,211,16,177
EA:EB:C9:B6:1F:5A,Flex + IMU,3440,1,81,0,157,104,116,214,23,35,6
EA:EB:C9:B6:1F:5A,Flex + IMU,3480,1,81,0,157,12,28,11,0,107,223
EA:EB:C9:B6:1F:5A,Flex + IMU,3488,1,81,0,157,20,60,123,0,102,20
EA:EB:C9:B6:1F:5A,Flex + IMU,3528,1,81,0,157,99,139,190,0,103,34
EA:EB:C9:B6:1F:5A,Flex + IMU,3536,1,81,0,157,37,165,157,0,103,72
EA:EB:C9:B6:1F:5A,Flex + IMU,3576,1,81,0,157,63,11,71,0,119,23
EA:EB:C9:B6:1F:5A,Flex + IMU,3584,1,81,0,157,70,33,144,0,97,212
EA:EB:C9:B6:1F:5A,Flex + IMU,3624,1,81,0,157,141,136,75,0,28,162
EA:EB:C9:B6:1F:5A,Flex + IMU,3632,1,81,0,157,141,136,192,0,52,127
EA:EB:C9:B6:1F:5A,Flex + IMU,3672,1,81,0,156,42,0,12,0,126,7
EA:EB:C9:B6:1F:5A,Flex + IMU,3680,1,81,0,156,244,67,77,0,118,192
EA:EB:C9:B6:1F:5A,Flex + IMU,3720,1,81,0,155,60,242,31,40,38,113
EA:EB:C9:B6:1F:5A,Flex + IMU,3728,1,81,0,155,66,29,97,37,29,220
EA:EB:C9:B6:1F:5A,Flex + IMU,3768,1,81,0,155,18,224,171,90,71,45
EA:EB:C9:B6:1F:5A,Flex + IMU,3776,1,81,0,155,78,82,110,95,92,28
EA:EB:C9:B6:1F:5A,Flex + IMU,3816,1,81,0,155,128,24,70,177,166,103
EA:EB:C9:B6:1F:5A,Flex + IMU,3824,1,81,0,155,221,78,215,87,84,92
EA:EB:C9:B6:1F:5A,Flex + IMU,3864,1,81,0,155,111,70,20,206,140,2
EA:EB:C9:B6:1F:5A,Flex + IMU,3872,1,81,0,155,94,106,161,39,101,33
EA:EB:C9:B6:1F:5A,Flex + IMU,3912,1,81,0,155,79,165,152,139,51,23
EA:EB:C9:B6:1F:5A,Flex + IMU,3920,1,81,0,155,143,131,153,96,249,130
EA:EB:C9:B6:1F:5A,Flex + IMU,3968,1,81,0,155,9,26,55,82,189,116
EA:EB:C9:B6:1F:5A,Flex + IMU,3976,1,81,0,155,94,139,141,195,212,98
EA:EB:C9:B6:1F:5A,Flex + IMU,4016,1,81,0,155,103,13,111,251,84,175
EA:EB:C9:B6:1F:5A,Flex + IMU,4024,1,81,0,155,186,254,154,251,36,133
EA:EB:C9:B6:1F:5A,Flex + IMU,4064,1,81,0,155,14,42,224,251,242,18
EA:EB:C9:B6:1F:5A,Flex + IMU,4112,1,81,0,155,70,63,46,251,38,55
EA:EB:C9:B6:1F:5A,Flex + IMU,4120,1,81,0,155,127,214,77,251,5,86
EA:EB:C9:B6:1F:5A,Flex + IMU,4160,1,80,0,155,173,108,152,251,211,146
EA:EB:C9:B6:1F:5A,Flex + IMU,4168,1,80,0,155,209,108,152,251,131,142
EA:EB:C9:B6:1F:5A,Flex + IMU,4208,1,80,0,155,63,245,155,251,240,245
EA:EB:C9:B6:1F:5A,Flex + IMU,4216,1,80,0,155,65,235,38,251,158,250
EA:EB:C9:B6:1F:5A,Flex + IMU,4256,1,81,0,155,130,32,39,183,220,188
EA:EB:C9:B6:1F:5A,Flex + IMU,4264,1,81,0,155,195,73,80,182,212,150
EA:EB:C9:B6:1F:5A,Flex + IMU,4304,1,81,0,156,0,243,147,79,30,8
EA:EB:C9:B6:1F:5A,Flex + IMU,4312,1,81,0,156,6,167,77,181,234,125
EA:EB:C9:B6:1F:5A,Flex + IMU,4352,1,81,0,156,245,201,145,213,108,181
EA:EB:C9:B6:1F:5A,Flex + IMU,4360,1,81,0,156,47,134,15,31,27,39
EA:EB:C9:B6:1F:5A,Flex + IMU,4400,1,81,0,156,232,97,33,52,179,218
EA:EB:C9:B6:1F:5A,Flex + IMU,4408,1,81,0,156,201,38,63,195,46,194
EA:EB:C9:B6:1F:5A,Flex + IMU,4448,1,80,0,156,108,74,50,34,147,10
EA:EB:C9:B6:1F:5A,Flex + IMU,4456,1,80,0,156,35,238,121,254,215,219
EA:EB:C9:B6:1F:5A,Flex + IMU,4504,1,80,0,156,245,155,59,0,224,6
EA:EB:C9:B6:1F:5A,Flex + IMU,4512,1,80,0,156,232,212,157,0,141,137
EA:EB:C9:B6:1F:5A,Flex + IMU,4552,1,80,0,156,146,29,78,0,160,46
EA:EB:C9:B6:1F:5A,Flex + IMU,4560,1,80,0,156,134,62,135,0,119,233
EA:EB:C9:B6:1F:5A,Flex + IMU,4600,1,80,0,156,31,109,68,0,111,154
EA:EB:C9:B6:1F:5A,Flex + IMU,4608,1,80,0,156,4,231,79,0,58,126
EA:EB:C9:B6:1F:5A,Flex + IMU,4696,1,80,0,156,4,157,108,0,114,155
EA:EB:C9:B6:1F:5A,Flex + IMU,4704,1,80,0,156,224,26,249,0,114,15
