Device Address,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
D4:72:11:8B:5A:4D,Flex + IMU,53440,145,106,0,73,32,132,108,170,252,240
D4:72:11:8B:5A:4D,Flex + IMU,53448,145,106,0,73,59,168,113,240,66,9
D4:72:11:8B:5A:4D,Flex + IMU,53536,145,106,0,74,42,90,174,0,197,199
D4:72:11:8B:5A:4D,Flex + IMU,53544,146,106,0,74,57,210,130,0,132,26
D4:72:11:8B:5A:4D,Flex + IMU,53592,146,106,0,74,21,121,210,0,43,108
D4:72:11:8B:5A:4D,Flex + IMU,53600,146,106,0,74,14,181,137,0,73,38
D4:72:11:8B:5A:4D,Flex + IMU,53640,146,106,0,74,233,79,184,0,162,11
D4:72:11:8B:5A:4D,Flex + IMU,53648,146,106,0,74,4,60,143,0,23,7
D4:72:11:8B:5A:4D,Flex + IMU,53688,146,106,0,74,231,224,173,0,197,215
D4:72:11:8B:5A:4D,Flex + IMU,53696,146,106,0,74,214,202,29,0,250,15
D4:72:11:8B:5A:4D,Flex + IMU,53736,146,106,0,74,239,61,173,0,252,140
D4:72:11:8B:5A:4D,Flex + IMU,53744,146,106,0,74,16,255,221,0,78,29
D4:72:11:8B:5A:4D,Flex + IMU,53784,147,106,0,74,35,234,11,0,108,188
D4:72:11:8B:5A:4D,Flex + IMU,53792,147,106,0,74,14,94,111,0,111,71
D4:72:11:8B:5A:4D,Flex + IMU,53832,147,106,0,75,24,196,88,0,55,175
D4:72:11:8B:5A:4D,Flex + IMU,53840,147,106,0,75,63,188,47,60,86,110
D4:72:11:8B:5A:4D,Flex + IMU,53880,147,106,0,75,115,218,142,99,230,56
D4:72:11:8B:5A:4D,Flex + IMU,53888,147,106,0,75,221,60,230,132,144,207
D4:72:11:8B:5A:4D,Flex + IMU,53928,147,107,0,76,246,91,108,109,161,14
D4:72:11:8B:5A:4D,Flex + IMU,53936,147,107,0,76,88,208,190,109,161,14
D4:72:11:8B:5A:4D,Flex + IMU,53976,147,107,0,76,28,36,99,198,79,95
D4:72:11:8B:5A:4D,Flex + IMU,54024,147,107,0,77,4,168,111,184,98,249
D4:72:11:8B:5A:4D,Flex + IMU,54032,147,107,0,77,246,168,111,178,93,152
D4:72:11:8B:5A:4D,Flex + IMU,54080,147,107,0,77,83,235,189,251,27,246
D4:72:11:8B:5A:4D,Flex + IMU,54088,147,107,0,77,65,118,246,251,246,178
D4:72:11:8B:5A:4D,Flex + IMU,54128,147,106,0,76,229,104,31,251,161,58
D4:72:11:8B:5A:4D,Flex + IMU,54136,147,106,0,76,229,104,31,251,34,54
D4:72:11:8B:5A:4D,Flex + IMU,54176,147,106,0,76,114,3,162,251,252,78
D4:72:11:8B:5A:4D,Flex + IMU,54184,147,106,0,76,69,12,154,251,18,77
D4:72:11:8B:5A:4D,Flex + IMU,54224,147,106,0,76,230,105,172,251,228,27
D4:72:11:8B:5A:4D,Flex + IMU,54232,147,106,0,76,234,147,146,251,113,247
D4:72:11:8B:5A:4D,Flex + IMU,54272,146,106,0,76,70,138,136,251,110,76
D4:72:11:8B:5A:4D,Flex + IMU,54280,146,106,0,76,131,126,104,251,194,228
D4:72:11:8B:5A:4D,Flex + IMU,54320,146,106,0,76,99,53,23,68,128,203
D4:72:11:8B:5A:4D,Flex + IMU,54328,146,106,0,76,133,0,250,159,149,23
D4:72:11:8B:5A:4D,Flex + IMU,54368,146,106,0,76,109,120,112,144,111,247
D4:72:11:8B:5A:4D,Flex + IMU,54376,146,106,0,76,42,113,76,84,255,214
D4:72:11:8B:5A:4D,Flex + IMU,54416,146,106,0,76,83,248,41,153,85,251
D4:72:11:8B:5A:4D,Flex + IMU,54424,146,106,0,76,43,9,206,72,31,151
D4:72:11:8B:5A:4D,Flex + IMU,54464,145,106,0,75,127,3,51,53,19,59
D4:72:11:8B:5A:4D,Flex + IMU,54472,145,106,0,74,70,156,243,15,44,59
D4:72:11:8B:5A:4D,Flex + IMU,54512,145,105,0,74,7,251,30,77,117,61
D4:72:11:8B:5A:4D,Flex + IMU,54520,145,105,0,74,20,174,63,35,202,154
D4:72:11:8B:5A:4D,Flex + IMU,54560,145,105,0,74,212,132,13,236,88,58
D4:72:11:8B:5A:4D,Flex + IMU,54568,145,105,0,74,240,44,86,236,88,58
D4:72:11:8B:5A:4D,Flex + IMU,54616,146,105,0,74,133,89,97,0,225,155
D4:72:11:8B:5A:4D,Flex + IMU,54624,146,105,0,74,8,50,86,0,112,225
D4:72:11:8B:5A:4D,Flex + IMU,54664,146,105,0,75,185,246,88,0,67,105
D4:72:11:8B:5A:4D,Flex + IMU,54672,146,105,0,75,169,54,223,0,67,219
D4:72:11:8B:5A:4D,Flex + IMU,54712,146,105,0,75,77,205,153,0,115,29
D4:72:11:8B:5A:4D,Flex + IMU,54720,146,105,0,75,119,19,38,0,54,77
D4:72:11:8B:5A:4D,Flex + IMU,54760,146,105,0,75,124,16,31,0,55,38
D4:72:11:8B:5A:4D,Flex + IMU,54768,146,105,0,75,124,16,31,0,85,169
D4:72:11:8B:5A:4D,Flex + IMU,54808,146,106,0,75,226,32,30,0,62,41
D4:72:11:8B:5A:4D,Flex + IMU,54816,146,106,0,75,10,231,3,0,105,45
D4:72:11:8B:5A:4D,Flex + IMU,54856,146,106,0,76,30,21,116,0,141,0
D4:72:11:8B:5A:4D,Flex + IMU,54864,147,106,0,76,70,36,202,6,215,99
D4:72:11:8B:5A:4D,Flex + IMU,54904,147,106,0,76,165,13,45,156,53,59
D4:72:11:8B:5A:4D,Flex + IMU,54912,147,106,0,76,197,61,216,15,69,225
D4:72:11:8B:5A:4D,Flex + IMU,54952,147,106,0,76,138,34,162,176,238,232
D4:72:11:8B:5A:4D,Flex + IMU,54960,147,106,0,76,185,148,33,197,137,47
D4:72:11:8B:5A:4D,Flex + IMU,55000,147,106,0,76,96,210,50,203,195,236
D4:72:11:8B:5A:4D,Flex + IMU,55008,147,106,0,76,176,142,209,196,142,176
D4:72:11:8B:5A:4D,Flex + IMU,55048,147,106,0,77,229,200,198,86,202,134
D4:72:11:8B:5A:4D,Flex + IMU,55056,147,106,0,77,165,55,147,130,252,178
D4:72:11:8B:5A:4D,Flex + IMU,55096,147,106,0,77,218,164,239,251,189,183
D4:72:11:8B:5A:4D,Flex + IMU,55104,147,106,0,77,138,174,24,251,89,225
D4:72:11:8B:5A:4D,Flex + IMU,55152,147,105,0,76,17,227,131,251,245,143
D4:72:11:8B:5A:4D,Flex + IMU,55160,147,106,0,76,255,176,168,251,11,96
D4:72:11:8B:5A:4D,Flex + IMU,55200,147,105,0,75,191,175,234,251,114,218
D4:72:11:8B:5A:4D,Flex + IMU,55208,147,105,0,75,134,222,188,251,151,218
D4:72:11:8B:5A:4D,Flex + IMU,55248,146,105,0,75,166,165,68,251,80,77
D4:72:11:8B:5A:4D,Flex + IMU,55256,146,105,0,75,215,217,26,251,131,148
D4:72:11:8B:5A:4D,Flex + IMU,55296,147,104,0,75,84,130,11,251,198,220
D4:72:11:8B:5A:4D,Flex + IMU,55304,147,105,0,75,234,152,247,251,198,163
D4:72:11:8B:5A:4D,Flex + IMU,55344,146,104,0,75,65,209,44,251,57,147
D4:72:11:8B:5A:4D,Flex + IMU,55352,146,104,0,75,125,54,253,251,158,35
D4:72:11:8B:5A:4D,Flex + IMU,55392,146,105,0,75,89,7,211,118,80,233
D4:72:11:8B:5A:4D,Flex + IMU,55400,146,105,0,75,89,7,104,186,11,105
D4:72:11:8B:5A:4D,Flex + IMU,55440,145,104,0,74,81,3,148,53,7,225
D4:72:11:8B:5A:4D,Flex + IMU,55448,145,104,0,74,51,85,83,183,72,156
D4:72:11:8B:5A:4D,Flex + IMU,55488,145,104,0,74,193,66,227,41,68,38
D4:72:11:8B:5A:4D,Flex + IMU,55496,145,104,0,74,209,166,237,110,42,203
D4:72:11:8B:5A:4D,Flex + IMU,55536,145,104,0,74,0,119,18,251,104,105
D4:72:11:8B:5A:4D,Flex + IMU,55544,145,104,0,74,129,47,130,20,32,122
D4:72:11:8B:5A:4D,Flex + IMU,55584,145,104,0,74,245,249,91,0,74,187
D4:72:11:8B:5A:4D,Flex + IMU,55592,145,104,0,74,174,68,203,0,93,202
D4:72:11:8B:5A:4D,Flex + IMU,55640,146,105,0,75,92,196,148,0,80,242
D4:72:11:8B:5A:4D,Flex + IMU,55648,146,105,0,75,12,161,158,0,92,158
D4:72:11:8B:5A:4D,Flex + IMU,55688,146,105,0,75,5,7,231,0,19,190
D4:72:11:8B:5A:4D,Flex + IMU,55696,146,105,0,75,20,228,178,0,40,233
D4:72:11:8B:5A:4D,Flex + IMU,55736,146,105,0,75,14,181,61,0,22,177
D4:72:11:8B:5A:4D,Flex + IMU,55744,146,105,0,75,246,238,59,0,199,20
D4:72:11:8B:5A:4D,Flex + IMU,55784,146,105,0,75,116,68,137,0,245,107
D4:72:11:8B:5A:4D,Flex + IMU,55792,146,105,0,75,48,198,111,0,253,231
D4:72:11:8B:5A:4D,Flex + IMU,55832,146,105,0,76,121,166,97,39,25,102
D4:72:11:8B:5A:4D,Flex + IMU,55840,146,106,0,76,211,210,203,121,25,102
D4:72:11:8B:5A:4D,Flex + IMU,55880,146,106,0,76,144,205,213,12,64,143
