Device Address,Exercise,Timestamp,Thumb,Ring,Middle,Index,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
EA:EB:C9:B6:1F:5A,Flex + IMU,33896,288,306,0,609,-172,21,1392,-2702,-1003,513
EA:EB:C9:B6:1F:5A,Flex + IMU,33904,288,306,0,609,-168,19,1414,-2943,-929,513
EA:EB:C9:B6:1F:5A,Flex + IMU,33944,288,306,0,609,-154,-235,1649,-15714,922,2373
EA:EB:C9:B6:1F:5A,Flex + IMU,33952,288,306,0,609,-181,-121,1595,-19961,1170,2786
EA:EB:C9:B6:1F:5A,Flex + IMU,33992,288,306,0,609,-240,-87,1453,-32747,2607,4911
EA:EB:C9:B6:1F:5A,Flex + IMU,34000,288,306,0,609,-240,-87,1453,-32747,3446,5705
EA:EB:C9:B6:1F:5A,Flex + IMU,34040,288,308,0,609,-371,-54,660,-32768,11053,11238
EA:EB:C9:B6:1F:5A,Flex + IMU,34048,288,308,0,609,-339,285,293,-32768,12511,12265
EA:EB:C9:B6:1F:5A,Flex + IMU,34088,289,309,0,610,-196,1147,-812,-32768,9223,14630
EA:EB:C9:B6:1F:5A,Flex + IMU,34096,290,309,0,610,-196,1147,-891,-32768,7648,15530
EA:EB:C9:B6:1F:5A,Flex + IMU,34136,291,310,0,610,-571,1347,-994,-32768,3284,16328
EA:EB:C9:B6:1F:5A,Flex + IMU,34144,291,309,0,610,-546,1348,-1049,-32768,3083,15286
EA:EB:C9:B6:1F:5A,Flex + IMU,34192,294,310,0,611,-427,795,-807,-26730,-2438,8170
EA:EB:C9:B6:1F:5A,Flex + IMU,34200,295,310,0,611,-475,644,-749,-24051,-4124,7783
EA:EB:C9:B6:1F:5A,Flex + IMU,34288,299,311,0,612,-451,673,-1159,-10662,-5659,2112
EA:EB:C9:B6:1F:5A,Flex + IMU,34296,299,311,0,612,-454,717,-1187,-8883,-6015,1820
EA:EB:C9:B6:1F:5A,Flex + IMU,34336,300,311,0,612,-441,654,-1193,-5843,-6040,1806
EA:EB:C9:B6:1F:5A,Flex + IMU,34344,301,311,0,612,-463,687,-1226,-5962,-5466,2010
EA:EB:C9:B6:1F:5A,Flex + IMU,34384,302,312,0,612,-530,875,-1426,3602,-4023,1375
EA:EB:C9:B6:1F:5A,Flex + IMU,34392,302,312,0,612,-509,816,-1384,4583,-3575,678
EA:EB:C9:B6:1F:5A,Flex + IMU,34432,303,312,0,612,-397,883,-1573,-704,-1388,885
EA:EB:C9:B6:1F:5A,Flex + IMU,34480,304,312,0,612,-440,1247,-1706,22561,183,2364
EA:EB:C9:B6:1F:5A,Flex + IMU,34488,304,313,0,612,-365,1172,-1649,26468,788,2010
EA:EB:C9:B6:1F:5A,Flex + IMU,34528,304,313,0,612,-318,1003,-1354,30861,866,3931
EA:EB:C9:B6:1F:5A,Flex + IMU,34536,304,313,0,612,-401,1182,-1339,30861,866,3931
EA:EB:C9:B6:1F:5A,Flex + IMU,34576,304,311,0,612,-367,1990,-1672,32763,6526,3514
EA:EB:C9:B6:1F:5A,Flex + IMU,34584,303,311,0,612,-260,1879,-1795,32763,5911,2728
EA:EB:C9:B6:1F:5A,Flex + IMU,34624,301,311,0,612,-340,386,-1240,32763,-463,3083
EA:EB:C9:B6:1F:5A,Flex + IMU,34632,301,311,0,612,-340,386,-1240,32763,-1,2940
EA:EB:C9:B6:1F:5A,Flex + IMU,34680,299,311,0,612,-313,-733,432,32763,5914,3379
EA:EB:C9:B6:1F:5A,Flex + IMU,34688,298,311,0,613,-278,-819,623,32763,4942,3683
EA:EB:C9:B6:1F:5A,Flex + IMU,34728,296,311,0,613,-519,-384,1075,25693,2510,1574
EA:EB:C9:B6:1F:5A,Flex + IMU,34736,296,311,0,613,-519,-384,1075,21052,4323,1208
EA:EB:C9:B6:1F:5A,Flex + IMU,34776,297,312,0,613,-379,-362,1043,12030,8676,862
EA:EB:C9:B6:1F:5A,Flex + IMU,34784,297,312,0,613,-352,-326,983,10748,8637,523
EA:EB:C9:B6:1F:5A,Flex + IMU,34824,298,312,0,613,-339,-392,1127,16617,8315,-2794
EA:EB:C9:B6:1F:5A,Flex + IMU,34832,298,312,0,613,-255,-738,1179,17417,8755,-2917
EA:EB:C9:B6:1F:5A,Flex + IMU,34872,298,312,0,613,-226,-813,1315,-409,5467,-55
EA:EB:C9:B6:1F:5A,Flex + IMU,34920,298,313,0,613,-43,-760,1693,-2333,3904,1018
EA:EB:C9:B6:1F:5A,Flex + IMU,34928,298,313,0,613,-36,-987,1826,-4696,3529,1564
EA:EB:C9:B6:1F:5A,Flex + IMU,34968,298,314,0,613,-115,-884,1802,-25147,984,3436
EA:EB:C9:B6:1F:5A,Flex + IMU,34976,298,314,0,613,-133,-727,1751,-29202,287,3550
EA:EB:C9:B6:1F:5A,Flex + IMU,35016,297,314,0,612,-126,-94,1530,-32768,0,3822
EA:EB:C9:B6:1F:5A,Flex + IMU,35024,297,314,0,612,-121,-64,1474,-32768,483,3835
EA:EB:C9:B6:1F:5A,Flex + IMU,35064,298,314,0,612,-201,14,1152,-32768,3915,7462
EA:EB:C9:B6:1F:5A,Flex + IMU,35072,298,314,0,612,-220,99,1016,-32768,3915,7462
EA:EB:C9:B6:1F:5A,Flex + IMU,35112,299,315,0,612,-197,568,341,-32768,3699,10359
EA:EB:C9:B6:1F:5A,Flex + IMU,35120,298,315,0,612,-222,640,200,-32768,3373,10197
EA:EB:C9:B6:1F:5A,Flex + IMU,35168,299,315,0,612,-384,1078,-432,-32768,2498,9350
EA:EB:C9:B6:1F:5A,Flex + IMU,35176,299,315,0,612,-398,1155,-482,-32768,2553,9350
EA:EB:C9:B6:1F:5A,Flex + IMU,35216,299,315,0,612,-370,850,-500,-32768,1584,7769
EA:EB:C9:B6:1F:5A,Flex + IMU,35224,299,315,0,612,-397,944,-609,-32768,1210,7496
EA:EB:C9:B6:1F:5A,Flex + IMU,35264,300,315,0,612,-362,1348,-928,-25180,-3868,4401
EA:EB:C9:B6:1F:5A,Flex + IMU,35272,300,315,0,612,-353,1206,-928,-25180,-5053,3369
EA:EB:C9:B6:1F:5A,Flex + IMU,35312,300,315,0,613,-451,623,-802,-26285,-4719,4299
EA:EB:C9:B6:1F:5A,Flex + IMU,35320,300,315,0,613,-464,844,-926,-27340,-3725,5303
EA:EB:C9:B6:1F:5A,Flex + IMU,35360,301,315,0,613,-332,693,-1173,-13466,-5009,3190
EA:EB:C9:B6:1F:5A,Flex + IMU,35368,301,315,0,613,-332,543,-1120,-12408,-5584,2659
EA:EB:C9:B6:1F:5A,Flex + IMU,35408,301,315,0,613,-415,714,-1253,-10755,-6613,1963
EA:EB:C9:B6:1F:5A,Flex + IMU,35416,301,315,0,613,-398,688,-1218,-9246,-6641,1824
EA:EB:C9:B6:1F:5A,Flex + IMU,35456,302,315,0,613,-407,629,-1427,-10038,-2158,2408
EA:EB:C9:B6:1F:5A,Flex + IMU,35464,302,315,0,613,-387,736,-1539,-9164,-1834,2658
EA:EB:C9:B6:1F:5A,Flex + IMU,35504,303,315,0,613,-359,902,-1569,4458,-4462,1383
EA:EB:C9:B6:1F:5A,Flex + IMU,35512,303,315,0,613,-335,720,-1463,7036,-4962,825
EA:EB:C9:B6:1F:5A,Flex + IMU,35552,303,316,0,614,-436,814,-1611,-5542,-120,2949
EA:EB:C9:B6:1F:5A,Flex + IMU,35560,303,316,0,613,-460,1013,-1713,-3360,450,3409
EA:EB:C9:B6:1F:5A,Flex + IMU,35600,304,316,0,613,-329,1471,-1926,19181,605,1364
EA:EB:C9:B6:1F:5A,Flex + IMU,35608,304,316,0,613,-302,1404,-1890,25538,224,638
EA:EB:C9:B6:1F:5A,Flex + IMU,35648,304,317,0,613,-230,1124,-1479,32763,-649,4586
