DeviceAddress,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc_x_,Acc_y_,Acc_z_,Gyr_x_,Gyr_y_,Gyr_z_
D4:72:11:8B:5A:4D,Flex + IMU,19760,588,284,0,453,-176,-1162,-732,5956,-1678,-1419
D4:72:11:8B:5A:4D,Flex + IMU,19768,588,284,0,453,-196,-1162,-732,3236,-1087,-1383
D4:72:11:8B:5A:4D,Flex + IMU,19952,583,283,0,449,-212,-3590,13,-32768,-20833,-12065
D4:72:11:8B:5A:4D,Flex + IMU,20048,564,306,0,438,-330,1608,-225,-32768,5337,-11378
D4:72:11:8B:5A:4D,Flex + IMU,20056,563,306,0,437,-324,1664,-37,-32526,5530,-4759
D4:72:11:8B:5A:4D,Flex + IMU,20200,564,313,0,437,-66,463,1470,6387,5234,-2686
D4:72:11:8B:5A:4D,Flex + IMU,20208,564,313,0,437,-31,460,1607,6480,5425,-2376
D4:72:11:8B:5A:4D,Flex + IMU,20584,587,323,0,459,-296,135,-2800,-10099,23190,-285
D4:72:11:8B:5A:4D,Flex + IMU,20632,588,333,0,461,-386,-1142,774,21895,111,1530
D4:72:11:8B:5A:4D,Flex + IMU,20640,588,333,0,461,-173,-1201,670,14405,5006,913
D4:72:11:8B:5A:4D,Flex + IMU,20680,589,336,0,462,-95,-775,-297,2488,-6127,2628
D4:72:11:8B:5A:4D,Flex + IMU,20880,568,347,0,458,-573,1255,1785,-32571,-8212,-9707
D4:72:11:8B:5A:4D,Flex + IMU,21272,587,333,0,464,1804,2066,-4308,28246,31682,-4659
D4:72:11:8B:5A:4D,Flex + IMU,21280,588,334,0,464,1672,-491,-2301,31825,12555,-14874
D4:72:11:8B:5A:4D,Flex + IMU,21320,589,336,0,464,319,-950,609,-3422,19475,1590
D4:72:11:8B:5A:4D,Flex + IMU,21328,589,337,0,464,-324,-515,-660,-26854,8701,3248
D4:72:11:8B:5A:4D,Flex + IMU,21368,589,339,0,465,103,-829,-1071,-3516,-5434,3173
D4:72:11:8B:5A:4D,Flex + IMU,21376,589,339,0,465,-127,-785,-538,-2183,-12145,5243
D4:72:11:8B:5A:4D,Flex + IMU,21704,595,362,0,464,-137,495,1261,-2670,-8639,-5399
D4:72:11:8B:5A:4D,Flex + IMU,21808,593,361,0,463,-262,2121,688,10013,-3751,2938
D4:72:11:8B:5A:4D,Flex + IMU,21816,593,360,0,463,-308,2466,540,21319,-2748,2867
D4:72:11:8B:5A:4D,Flex + IMU,21856,591,357,0,461,6,294,-357,32763,14464,14484
D4:72:11:8B:5A:4D,Flex + IMU,21864,590,356,0,461,292,-154,-698,32763,16646,18096
D4:72:11:8B:5A:4D,Flex + IMU,21904,589,356,0,463,-420,-210,-2753,32763,32763,8372
D4:72:11:8B:5A:4D,Flex + IMU,22048,591,357,0,467,-21,-1456,1467,22953,3020,-1011
D4:72:11:8B:5A:4D,Flex + IMU,22192,587,360,0,466,824,-4933,-2180,-32768,-19618,3267
D4:72:11:8B:5A:4D,Flex + IMU,22200,583,360,0,466,864,-4933,-2180,-32768,-11060,7916
D4:72:11:8B:5A:4D,Flex + IMU,22288,573,368,0,465,-282,1571,1107,-8670,-1099,1640
D4:72:11:8B:5A:4D,Flex + IMU,22296,574,368,0,465,-26,878,1220,5863,1055,3616
D4:72:11:8B:5A:4D,Flex + IMU,22392,583,370,0,466,-42,813,1070,-7335,-3321,-5254
D4:72:11:8B:5A:4D,Flex + IMU,22440,584,371,0,466,16,838,1038,8879,6736,965
D4:72:11:8B:5A:4D,Flex + IMU,22488,585,371,0,466,-24,779,1444,-1832,1165,191
D4:72:11:8B:5A:4D,Flex + IMU,22584,591,366,0,465,5,572,-3104,32763,32763,10101
D4:72:11:8B:5A:4D,Flex + IMU,22592,591,365,0,466,52,145,-4467,32763,32763,-631
D4:72:11:8B:5A:4D,Flex + IMU,22632,588,364,0,468,-624,-9386,-5530,32763,-19644,-32768
D4:72:11:8B:5A:4D,Flex + IMU,22640,588,360,0,468,-975,-9503,-3148,32763,-32678,-32768
D4:72:11:8B:5A:4D,Flex + IMU,22728,591,363,0,468,668,-2731,-118,30231,-13296,1616
D4:72:11:8B:5A:4D,Flex + IMU,22736,591,363,0,468,-356,-1642,227,30231,-13296,1616
D4:72:11:8B:5A:4D,Flex + IMU,22776,592,365,0,469,-228,-288,-805,-17092,-4396,4473
D4:72:11:8B:5A:4D,Flex + IMU,23024,567,372,0,466,-479,793,803,-6589,3783,4007
D4:72:11:8B:5A:4D,Flex + IMU,23072,569,374,0,466,216,978,731,-16341,6893,-2228
D4:72:11:8B:5A:4D,Flex + IMU,23216,581,374,0,465,68,1718,1139,12582,-15051,359
D4:72:11:8B:5A:4D,Flex + IMU,23224,581,373,0,464,7,2330,637,16643,-17015,-995
D4:72:11:8B:5A:4D,Flex + IMU,23264,582,366,0,460,-1202,1384,427,32763,-3371,1498
D4:72:11:8B:5A:4D,Flex + IMU,23320,588,362,0,464,323,-398,-2554,32763,28620,215
D4:72:11:8B:5A:4D,Flex + IMU,23328,588,361,0,465,-45,-1122,-3211,32763,32341,-12607
D4:72:11:8B:5A:4D,Flex + IMU,23368,587,356,0,467,-286,-7471,-3182,32763,-27292,-31342
D4:72:11:8B:5A:4D,Flex + IMU,23416,589,360,0,469,-2317,3036,-4975,-28952,32101,7992
D4:72:11:8B:5A:4D,Flex + IMU,23424,590,361,0,469,375,1412,-3804,5154,32763,-5439
D4:72:11:8B:5A:4D,Flex + IMU,23512,591,363,0,469,93,-300,-1402,-1692,-11016,2728
D4:72:11:8B:5A:4D,Flex + IMU,23520,591,364,0,469,-86,-824,-1037,1775,-18835,3140
D4:72:11:8B:5A:4D,Flex + IMU,23704,569,372,0,467,-320,1638,156,-32768,-9527,-5450
D4:72:11:8B:5A:4D,Flex + IMU,23752,569,374,0,468,350,862,259,-13236,10172,-1056
D4:72:11:8B:5A:4D,Flex + IMU,23800,571,376,0,468,426,965,1249,-9767,1689,-7385
D4:72:11:8B:5A:4D,Flex + IMU,23856,575,377,0,468,26,1129,1439,3146,4562,-1618
D4:72:11:8B:5A:4D,Flex + IMU,23864,576,377,0,468,76,1029,1382,6450,4160,-464
D4:72:11:8B:5A:4D,Flex + IMU,23952,580,373,0,466,-236,1608,300,32763,-17056,-7188
D4:72:11:8B:5A:4D,Flex + IMU,24144,590,366,0,468,488,-1910,-2031,32763,26595,-12263
D4:72:11:8B:5A:4D,Flex + IMU,24152,590,364,0,468,362,-3103,-955,32763,6310,-9469
D4:72:11:8B:5A:4D,Flex + IMU,24336,587,364,0,463,-29,-4308,-1475,-32768,-32768,3281
D4:72:11:8B:5A:4D,Flex + IMU,24344,585,364,0,462,-508,-3769,-1385,-32768,-32625,-780
D4:72:11:8B:5A:4D,Flex + IMU,24392,577,368,0,458,-870,2992,-428,-32768,-15636,-6120
D4:72:11:8B:5A:4D,Flex + IMU,24400,576,368,0,459,-710,2911,477,-32768,-10597,-8109
D4:72:11:8B:5A:4D,Flex + IMU,24440,579,371,0,463,-380,675,751,13773,-6467,3974
D4:72:11:8B:5A:4D,Flex + IMU,24448,579,372,0,463,-576,-174,1336,17373,-7912,2303
D4:72:11:8B:5A:4D,Flex + IMU,24488,581,374,0,465,0,1026,460,-23415,-732,-6086
D4:72:11:8B:5A:4D,Flex + IMU,24632,581,375,0,464,150,2011,959,10492,-19981,-4799
D4:72:11:8B:5A:4D,Flex + IMU,24880,592,376,0,470,-6,-1294,-11,6475,7862,-4539
D4:72:11:8B:5A:4D,Flex + IMU,24888,592,376,0,470,-143,-740,-633,-8985,2887,-3217
D4:72:11:8B:5A:4D,Flex + IMU,24920,592,377,0,470,-200,-807,-865,8254,-9478,-1615
D4:72:11:8B:5A:4D,Flex + IMU,25072,591,376,0,468,701,-4547,-578,-32768,-31090,1542
D4:72:11:8B:5A:4D,Flex + IMU,25168,573,376,0,463,-109,1252,-1228,-32768,7513,-4526
D4:72:11:8B:5A:4D,Flex + IMU,25360,584,380,0,467,-115,1251,956,11309,-5,-3104
D4:72:11:8B:5A:4D,Flex + IMU,25368,584,380,0,467,-177,1251,956,16825,-567,-3545
