Device Address,Exercise,Timestamp,Thumb,Ring,Middle,Index,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
EA:EB:C9:B6:1F:5A,Flex + IMU,9232,273,294,0,605,503,780,2273,-6794,317,2950
EA:EB:C9:B6:1F:5A,Flex + IMU,9240,272,294,0,604,502,791,2294,-3596,-1476,2766
EA:EB:C9:B6:1F:5A,Flex + IMU,9280,272,294,0,604,424,425,2181,4301,-10206,2762
EA:EB:C9:B6:1F:5A,Flex + IMU,9288,272,294,0,603,409,415,2115,4325,-10206,2762
EA:EB:C9:B6:1F:5A,Flex + IMU,9328,272,294,0,603,94,199,1788,5660,-17378,2736
EA:EB:C9:B6:1F:5A,Flex + IMU,9336,273,294,0,603,48,191,1668,5534,-17827,2542
EA:EB:C9:B6:1F:5A,Flex + IMU,9376,273,294,0,603,-135,129,1271,6339,-17229,522
EA:EB:C9:B6:1F:5A,Flex + IMU,9384,274,294,0,603,-153,121,1271,6339,-16461,-84
EA:EB:C9:B6:1F:5A,Flex + IMU,9432,276,294,0,605,39,196,792,13196,-11510,-2076
EA:EB:C9:B6:1F:5A,Flex + IMU,9440,276,294,0,605,131,210,746,14618,-11061,-2130
EA:EB:C9:B6:1F:5A,Flex + IMU,9480,277,294,0,606,252,-28,781,16503,-10381,-1418
EA:EB:C9:B6:1F:5A,Flex + IMU,9488,277,294,0,606,247,-39,781,15223,-10037,-1201
EA:EB:C9:B6:1F:5A,Flex + IMU,9528,278,294,0,606,6,-136,752,11481,-6087,-1041
EA:EB:C9:B6:1F:5A,Flex + IMU,9536,278,294,0,606,-13,-153,784,11272,-4607,-1144
EA:EB:C9:B6:1F:5A,Flex + IMU,9576,279,295,0,606,-73,-525,1199,3878,2815,-956
EA:EB:C9:B6:1F:5A,Flex + IMU,9584,279,295,0,606,-74,-579,1308,695,3949,-603
EA:EB:C9:B6:1F:5A,Flex + IMU,9624,281,296,0,606,183,-1126,1402,-16782,3152,4010
EA:EB:C9:B6:1F:5A,Flex + IMU,9632,281,296,0,606,285,-1336,1296,-23436,1142,6160
EA:EB:C9:B6:1F:5A,Flex + IMU,9672,281,298,0,608,-177,-2088,609,-32768,-18133,15547
EA:EB:C9:B6:1F:5A,Flex + IMU,9680,282,298,0,608,-198,-1991,397,-32768,-21469,15074
EA:EB:C9:B6:1F:5A,Flex + IMU,9720,292,302,0,610,-250,-331,-1496,-32768,-32768,-4424
EA:EB:C9:B6:1F:5A,Flex + IMU,9728,293,303,0,611,-203,-160,-1737,-32768,-32768,-14799
EA:EB:C9:B6:1F:5A,Flex + IMU,9768,297,300,0,611,122,438,-3050,-32768,-32482,-32703
EA:EB:C9:B6:1F:5A,Flex + IMU,9776,297,298,0,611,462,1169,-3526,-32768,-28234,-30179
EA:EB:C9:B6:1F:5A,Flex + IMU,9816,296,298,0,610,-298,1802,-885,-16161,-8335,-3860
EA:EB:C9:B6:1F:5A,Flex + IMU,9824,296,298,0,610,-264,931,-1029,-9422,-1009,-3995
EA:EB:C9:B6:1F:5A,Flex + IMU,9864,299,301,0,611,-148,1340,-1283,-14283,1045,-2040
EA:EB:C9:B6:1F:5A,Flex + IMU,9872,300,301,0,611,-93,1149,-1345,-9727,1219,-1683
EA:EB:C9:B6:1F:5A,Flex + IMU,9912,302,304,0,611,-80,1072,-1494,-5272,2282,891
EA:EB:C9:B6:1F:5A,Flex + IMU,9920,302,305,0,611,-68,1155,-1584,-5272,2282,891
EA:EB:C9:B6:1F:5A,Flex + IMU,9968,304,307,0,611,10,1570,-1867,15046,7592,9531
EA:EB:C9:B6:1F:5A,Flex + IMU,9976,305,307,0,611,-68,1726,-1817,21379,8695,12871
EA:EB:C9:B6:1F:5A,Flex + IMU,10016,306,308,0,612,-18,1459,-1732,32763,9484,32159
EA:EB:C9:B6:1F:5A,Flex + IMU,10024,306,308,0,612,-47,1256,-1731,32763,9484,32671
EA:EB:C9:B6:1F:5A,Flex + IMU,10064,307,308,0,613,-678,525,-1767,32763,18874,32763
EA:EB:C9:B6:1F:5A,Flex + IMU,10072,307,308,0,613,-1016,430,-1729,32763,24961,32763
EA:EB:C9:B6:1F:5A,Flex + IMU,10112,296,308,0,613,-902,-94,-848,32763,32763,21257
EA:EB:C9:B6:1F:5A,Flex + IMU,10120,295,308,0,613,-902,-94,-848,32763,32763,7859
EA:EB:C9:B6:1F:5A,Flex + IMU,10208,301,311,0,614,-185,-1235,1888,-23224,-10973,10815
